County,Latitude,Longitude,Count,Suicide Rate
Alameda,37.6016892,-121.7195459,470,8.8
Alpine,38.5940736,-119.8815203,142,23.8
Amador,38.4092417,-120.6660044,142,23.8
Calaveras,38.2310851,-120.6199895,142,23.8
Inyo,36.3091865,-117.5495846,142,23.8
Mariposa,37.5127928,-119.8815203,142,23.8
Mono,37.9218608,-118.9528645,142,23.8
Tuolumne,38.029655,-119.9740534,142,23.8
Butte,39.6253952,-121.5370003,142,22.5
Colusa,39.1040645,-122.2653887,67,17.2
Glenn,39.6437813,-122.4467238,67,17.2
Tehama,40.0982197,-122.174605,67,17.2
Contra Costa,37.8534093,-121.9017954,339,9.2
Del Norte,41.7076287,-123.9659708,112,23.1
Lassen,40.5394389,-120.7120023,112,23.1
Modoc,41.4565165,-120.629366,112,23.1
Plumas,39.99268319999999,-120.8039474,112,23.1
Sierra,39.5532845,-120.2512728,112,23.1
Siskiyou,41.7743261,-122.5770126,112,23.1
Trinity,40.6329485,-123.0622553,112,23.1
El Dorado,38.74263759999999,-120.4357631,100,16.8
Fresno,36.9858984,-119.2320784,325,11.0
Humboldt,40.7450055,-123.8695086,93,22.7
Imperial,33.0113694,-115.4733554,32,5.8
Kern,35.4937274,-118.8596804,352,13.6
Kings,36.0988489,-119.8815203,63,14.8
Lake,39.08396440000001,-122.8084496,49,24.9
Los Angeles,34.3871821,-118.1122679,2651,8.2
Madera,37.251926,-119.6962677,52,11.3
Marin,38.083403,-122.7633036,122,14.6
Mendocino,39.5500194,-123.438353,60,20.8
Merced,37.2009788,-120.7120023,71,9.2
Monterey,36.3136201,-121.3541631,130,9.6
Napa,38.5024689,-122.2653887,52,10.9
Nevada,39.1346666,-121.1710389,66,21.3
Orange,33.7174708,-117.8311428,1014,9.9
Placer,39.0915751,-120.8039474,173,12.5
Riverside,33.6825587,-115.4733554,891,11.9
Sacramento,38.47467,-121.3541631,598,12.6
San Benito,36.5760883,-120.9876321,16,8.4
San Bernardino,34.9592083,-116.419389,718,11.2
San Diego,33.0933809,-116.6081653,1280,12.3
San Francisco,37.7749295,-122.4194155,244,7.9
San Joaquin,37.9175935,-121.1710389,251,10.8
San Luis Obispo,35.3102296,-120.4357631,146,16.2
San Mateo,37.4337342,-122.4014193,216,8.5
Santa Barbara,34.6099379,-120.0665236,164,11.3
Santa Clara,37.2938907,-121.7195459,503,8.2
Santa Cruz,36.9305075,-121.9017954,114,12.9
Shasta,40.7908864,-121.8474493,137,24.9
Solano,38.3104969,-121.9017954,189,14.0
Sonoma,38.5779555,-122.9888319,228,13.9
Stanislaus,37.5090711,-120.9876321,186,11.4
Sutter,39.0219764,-121.6739371,30,9.9
Tulare,36.1341739,-118.8596804,105,7.8
Ventura,34.3704884,-119.1390642,278,10.2
Yolo,38.7646021,-121.9017954,56,9.2
Yuba,39.2547027,-121.3998995,46,20.5